,ts_code,symbol,name,list_date,delist_date
0,CJL.ZCE,CJL,红枣连续,,
1,CJ.ZCE,CJ,红枣主力,,
2,UR.ZCE,UR,尿素主力,,
3,URL.ZCE,URL,尿素连续,,
4,TA.ZCE,TA,PTA主力,,
5,MAL.ZCE,MAL,甲醇连续,,
6,CFL.ZCE,CFL,郑棉连续,,
7,SRL.ZCE,SRL,白糖连续,,
8,RSL.ZCE,RSL,菜籽连续,,
9,LRL.ZCE,LRL,晚籼稻连续,,
10,OI.ZCE,OI,菜油主力,,
11,MA.ZCE,MA,甲醇主力,,
12,RIL.ZCE,RIL,早籼稻连续,,
13,RS.ZCE,RS,菜籽主力,,
14,ZC.ZCE,ZC,动力煤主力,,
15,LR.ZCE,LR,晚籼稻主力,,
16,OIL.ZCE,OIL,菜油连续,,
17,WHL.ZCE,WHL,强麦连续,,
18,PM.ZCE,PM,普麦主力,,
19,SR.ZCE,SR,白糖主力,,
20,RI.ZCE,RI,早籼稻主力,,
21,SFL.ZCE,SFL,硅铁连续,,
22,RML.ZCE,RML,菜粕连续,,
23,TAL.ZCE,TAL,PTA连续,,
24,SML.ZCE,SML,锰硅连续,,
25,FGL.ZCE,FGL,玻璃连续,,
26,PML.ZCE,PML,普麦连续,,
27,SF.ZCE,SF,硅铁主力,,
28,WH.ZCE,WH,强麦主力,,
29,ZCL.ZCE,ZCL,动力煤连续,,
30,JR.ZCE,JR,粳稻主力,,
31,JRL.ZCE,JRL,粳稻连续,,
32,SM.ZCE,SM,锰硅主力,,
33,FG.ZCE,FG,玻璃主力,,
34,CF.ZCE,CF,棉花主力,,
35,RM.ZCE,RM,菜粕主力,,
36,PF.ZCE,PF,短纤主力,,
37,AP.ZCE,AP,苹果主力,,
38,APL.ZCE,APL,苹果连续,,
39,CY.ZCE,CY,棉纱主力,,
40,CYL.ZCE,CYL,棉纱连续,,
41,PFL.ZCE,PFL,短纤连续,,
42,ER.ZCE,ER,早籼稻主力,,
43,ERL.ZCE,ERL,早籼稻连续,,
44,ME.ZCE,ME,甲醇主力,,
45,RO.ZCE,RO,菜油主力,,
46,ROL.ZCE,ROL,菜油连续,,
47,TC.ZCE,TC,动力煤主力,,
48,WS.ZCE,WS,强麦主力,,
49,WSL.ZCE,WSL,强麦连续,,
50,WT.ZCE,WT,硬麦主力,,
51,SA.ZCE,SA,纯碱主力,,
52,SAL.ZCE,SAL,纯碱连续,,
53,PKL.ZCE,PKL,花生连续,,
54,PK.ZCE,PK,花生主力,,
55,MEL.ZCE,MEL,甲醇连续,,
56,TCL.ZCE,TCL,动力煤连续,,
